chemical_id	formula
ZINC00006923					CCOc1ccccc1O[C@@H](c1ccccc1)[C@H]1OCC[NH2+]C1
ZINC00002284	CBQGYUDMJHNJBX-MOPGFXCFSA-O	CCOc1ccccc1O[C@@H](c1ccccc1)[C@@H]1OCC[NH2+]C1
ZINC00002275	CBQGYUDMJHNJBX-RBUKOAKNSA-O	CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1OCC[NH2+]C1
ZINC26663529	LXWLOFYIORKNSA-FFOGNQQCSA-N	CCCCCC(=O)O[C@@H]1[C@@H](OC(=O)/C(=C\C)/C)C(=C2[C@H]1[C@@](C)(OC(=O)C)C[C@@H]([C@]1([C@H]2OC(=O)[C@@]1(C)O)O)OC(=O)CCC)C
ZINC08195655	IXFPJGBNCFXKPI-FSIHEZPISA-N	CCCCCCCC(=O)O[C@@H]1[C@@H](OC(=O)/C(=C\C)/C)C(=C2[C@H]1[C@@](C)(OC(=O)C)C[C@@H]([C@]1([C@H]2OC(=O)[C@@]1(C)O)O)OC(=O)CCC)C
ZINC04843014	OORUPZVGNHKYDK-UHFFFAOYSA-N	O=C(c1ccc(o1)[N+](=O)[O-])Nc1ccccc1N1CCCC1
ZINC04842164	BEEHSUPOPGWGQH-UHFFFAOYSA-N	O=C(c1ccc(o1)[N+](=O)[O-])Nc1ccccc1N1CCCCC1
